FEN,Movimientos
5rk1/5ppp/p7/1p1Q4/8/4P3/PPr2qPP/K2R1R2 b - - 2 22,f2g2 d5f7 f8f7 d1d8 f7f8 f1f8
1r5k/p1p3b1/3p1q1p/3P2pP/P3Q3/2P5/1P3P2/1K1R1R2 w - - 1 33,b1c2 b8b2 c2b2 f6c3 b2a2 c3b2
2R2bk1/1p2r2p/p2p3q/PP1Pp1r1/Q3Pp2/8/5BPP/6RK w - - 0 31,b5a6 h6h2 h1h2 g5h5 f2h4 h5h4
5r1k/p2Rb2p/4Q2p/8/8/4N3/1q3rPP/5RK1 w - - 0 26,d7e7 f2f1 e3f1 b2f2 g1h1 f2f1
6k1/4q1p1/p1Qp1b1p/1p1P4/4N3/1P3P2/P2p2PP/6K1 w - - 0 28,e4d2 e7e1 d2f1 f6d4 g1h1 e1f1
3r2k1/5p1p/R5p1/8/PQP5/8/4qPPP/1R4K1 w - - 1 30,a6b6 d8d1 b1d1 e2d1 b4e1 d1e1
r4k1r/pp3p1p/2pb1qpQ/8/4R3/1P3P2/1PP2P1P/1K2R3 b - - 1 22,f8g8 e4e8 a8e8 e1e8 d6f8 h6f8
r1b2rk1/pp3ppp/2p5/4p3/1Pq1P3/2P1PQP1/P4RBP/3R2K1 b - - 2 17,c4c3 f3f7 f8f7 d1d8 f7f8 f2f8
kr6/p1p2pq1/Q1Pp2p1/p2B2Pp/7P/P7/1PP2n2/2K1R3 b - - 1 32,g7d4 a6b7 b8b7 c6b7 a8b8 e1e8
3r2k1/2q2p2/6p1/3Pp1PP/6B1/1p2bQ2/1P6/1K1R1R2 w - - 0 35,f3e3 c7c2 b1a1 d8a8 e3a7 a8a7
r2qr3/pQp2kpp/8/8/2b3n1/2N2N2/PP3PPb/R1BR2K1 w - - 0 17,f3h2 d8d1 c3d1 e8e1 h2f1 e1f1
r3k2r/1p2ppbp/2p3p1/p3q3/P5n1/2N1B3/1PPQ1PPP/2KR3R b kq - 1 14,g4e3 d2d7 e8f8 d7d8 a8d8 d1d8
4rr2/3bqppk/pppp3p/3Pn3/1PP1PQ2/2N3K1/P3B1PR/7R b - - 3 28,f8h8 h2h6 g7h6 f4h6 h7g8 h6h8
Q6k/1r3pp1/1p2pn1p/1Pnp4/3q4/6P1/5PKP/RB6 b - - 5 29,f6g8 a8g8 h8g8 a1a8 b7b8 a8b8
2k3nr/ppp2ppp/8/8/1nP1p3/1N2P3/PqP1B1PP/R2R2K1 b - - 0 16,b2c2 e2g4 f7f5 g4f5 c8b8 d1d8
3R4/5pk1/p4Rp1/8/1p2q3/6Q1/bP4PP/7K w - - 2 30,f6a6 e4b1 d8d1 b1d1 g3e1 d1e1
8/8/R4n2/5pkp/8/3r2P1/5PK1/8 b - - 3 41,f6e4 f2f4 g5g4 a6g6 e4g5 g6g5
2r2rk1/5B1p/2p3pQ/8/4R3/1pq2PP1/4RK1P/8 b - - 0 35,f8f7 e4e8 c8e8 e2e8 f7f8 e8f8
1r4k1/6p1/6p1/6p1/2N2n2/8/2RRPP1P/6K1 w - - 3 34,e2e3 b8b1 c2c1 b1c1 d2d1 c1d1
2r2k2/3n1pb1/3p2p1/1R1Np2p/4P3/r1P3PP/5P1N/1R4K1 b - - 1 38,c8c5 b5b8 d7b8 b1b8 c5c8 b8c8
3k1b2/pp3p2/n1p4r/3p4/6p1/1P1P2Pq/P1PNPP1P/R2QN1KR w - - 0 18,f2f3 f8c5 d3d4 c5d4 e2e3 d4e3
r4k2/ppp2ppp/2n3q1/2Pr4/3P2P1/7P/P3QP2/R3R1K1 b - - 0 23,c6d4 e2e7 f8g8 e7e8 a8e8 e1e8
2Q5/p2R3p/4R1pk/5pq1/8/8/PPP2PPP/6K1 w - - 5 32,e6e7 g5c1 d7d1 c1d1 e7e1 d1e1
r5k1/1pp4p/p4B2/3pPp1Q/q2P4/P1P5/2P3PP/6K1 b - - 1 24,a4c2 h5g5 g8f7 g5g7 f7e6 g7e7
5r1k/2p3pp/p2p4/1p1Qp3/4PP2/P3B2q/1PP4P/R4R1K w - - 3 20,f4e5 f8f1 a1f1 h3f1 e3g1 f1f3
7k/5P1p/4p3/4r3/8/8/2bB4/6K1 b - - 0 44,e5f5 d2c3 e6e5 c3e5 f5e5 f7f8q
6r1/p1pk4/1p2p3/3p1p2/P2PqQ2/2P3P1/2P3Rr/6RK w - - 0 28,h1h2 g8h8 f4h4 h8h4 g3h4 e4h4
4r1rk/pRR3bp/3pq1p1/2P2p2/5P2/1QPb1N2/PP1N1PPP/6K1 w - - 3 24,c5d6 e6e1 f3e1 e8e1 d2f1 e1f1
7R/5kp1/P2q4/2p3r1/Q1P4P/5Pp1/6r1/5RK1 w - - 5 41,g1g2 d6d2 f1f2 d2f2 g2h3 f2h2
R4rk1/2r2ppp/2pPp1b1/1p1n4/3P4/5NP1/5PBP/R5K1 b - - 0 24,c7d7 a8f8 g8f8 a1a8 d7d8 a8d8
5rk1/p1Q4p/6r1/6q1/8/8/PR4bP/6RK w - - 0 36,b2g2 g5g2 g1g2 f8f1 g2g1 f1g1
5rk1/ppR3pp/4p3/3p4/1N6/1P4B1/1P1q1PPP/2R3K1 w - - 0 22,g3d6 d2f2 g1h1 f2f1 c1f1 f8f1
4r1k1/2Q2ppp/p7/1p6/1P6/P3q2P/3r2P1/R4R1K b - - 0 25,e3e2 c7f7 g8h8 f7f8 e8f8 f1f8
r1b1r1k1/pp3p2/5qpB/5pN1/1P3Q2/P7/5PPP/3R2K1 b - - 2 22,f6e5 f4e5 e8e5 d1d8 e5e8 d8e8
2r3k1/5ppp/8/p3P2q/Pp1P1Q2/1Pr5/6P1/5RK1 b - - 0 34,h5h6 f4f7 g8h8 f7f8 c8f8 f1f8
4r1k1/pp4p1/4r2p/P2q1p2/2Np1Q1P/3n2P1/1P3P2/R2R2K1 w - - 0 27,d1d3 e6e1 a1e1 e8e1 g1h2 e1h1
7k/3P2p1/2B5/3P4/P1Q1p1p1/6Pp/5rr1/4R1K1 w - - 2 49,g1h1 g2h2 h1g1 f2g2 g1f1 h2h1
1r5k/5Qpp/6n1/p4p2/8/P6P/1q3PP1/4R1K1 b - - 3 34,f5f4 e1e8 b8e8 f7e8 g6f8 e8f8
6k1/5pNp/p2p1q2/4r2P/1p4Q1/8/PPP5/1K2R3 w - - 1 30,e1e5 f6f1 e5e1 f1e1 g4d1 e1d1
r4r1k/4b1pp/pq1nB3/1p1RB3/8/P7/1P2QPPP/2R3K1 w - - 1 21,e2g4 b6f2 g1h1 f2f1 c1f1 f8f1
6k1/p5pp/2Pp4/2q5/8/P2Qp3/1Pr3PP/3R2K1 w - - 0 23,d3d5 c5d5 d1d5 c2c1 d5d1 c1d1
8/R5p1/5pkp/8/p3N1PP/4nP2/r7/7K b - - 0 39,a4a3 h4h5 g6h7 e4f6 h7h8 a7a8
r5k1/1p3ppp/2n5/p4q2/8/2PQ3P/P4P2/1K1RR3 b - - 7 27,f5f2 d3d8 a8d8 d1d8 c6d8 e1e8
2r3k1/1p1Q2pp/2p5/p2nP3/3q4/8/PP4P1/5R1K b - - 1 29,c8a8 d7f7 g8h8 f7f8 a8f8 f1f8
r3r2k/ppp2R1p/6p1/b6n/2BPP3/4q2P/PP1N2Q1/2K3R1 b - - 0 21,e3d4 f7h7 h8h7 g2g6 h7h8 g6h5
4r3/pp3pkp/3R2p1/4r3/2P3b1/P1Q2BPq/1P3P2/R5K1 w - - 3 26,d6d5 g4f3 c3f3 e5e1 a1e1 e8e1
8/2B2R2/1p3bk1/2p3pp/P1B5/2P2P2/1PR2PKP/3rr3 w - - 3 31,c7b6 e1g1 g2h3 g5g4 f3g4 h5g4
8/P7/6p1/1N4k1/R6p/4n2P/5PP1/4r1K1 w - - 3 49,g1h2 e3f1 h2g1 f1g3 g1h2 e1h1
2r2k1r/pR2ppb1/2p4p/3B2p1/8/8/2qBQPPP/5RK1 b - - 0 19,c6d5 e2e7 f8g8 e7f7 g8h7 f7g7
8/2R1Qpk1/1p3rpp/1P1P4/8/8/1q3PPP/3R2K1 w - - 3 37,d5d6 b2f2 g1h1 f2f1 d1f1 f6f1
8/1R6/5kpp/8/5PP1/r5K1/8/8 w - - 1 39,g3h4 g6g5 f4g5 h6g5 h4h5 a3h3
6k1/3q1ppp/Q1n2n2/3p4/Pp6/6P1/3r1PKP/2R5 b - - 1 25,d7a7 a6c8 c6d8 c8d8 f6e8 d8e8
8/2pk4/4p3/2QpPp1q/3P4/2P1n1B1/P5BP/1R4K1 w - - 3 35,b1b7 h5d1 g3e1 d1e1 g2f1 e1f1
5k2/1R6/5PB1/p7/1b6/1K6/2pr4/8 b - - 0 46,c2c1q b7b8 c1c8 b8c8 d2d8 c8d8
5rk1/p5p1/1p3q2/2p3p1/2P1p3/1P2Q3/P5PP/3R2K1 w - - 0 33,e3e4 f6f2 g1h1 f2f1 d1f1 f8f1
3r1rk1/2pq1pp1/pp3n1R/4p1N1/1P2P3/2PP2Q1/1P4PP/3R2K1 b - - 0 23,g7h6 g5e6 f6g4 g3g4 g8h8 g4g7
2k4r/p1p3pp/Ppr3q1/1Q1pR3/3P4/5P1P/2P3P1/4RK2 b - - 6 31,c6c2 e5e8 h8e8 e1e8 g6e8 b5e8
r4k2/ppp2pp1/1b6/3P2Q1/1P4n1/P2B1qr1/2PK1P2/R1B1R3 b - - 5 24,g4f2 g5e7 f8g8 e7e8 a8e8 e1e8
2r5/1q2rkpp/3Rp3/1p5Q/2p2P2/2P3P1/7P/3R2K1 b - - 3 28,f7g8 d6d8 c8d8 d1d8 e7e8 h5e8
5r1k/pp4pp/2p1Q1n1/8/8/2P1P1B1/Pq3PPP/3R2K1 w - - 1 26,g3d6 b2f2 g1h1 f2f1 d1f1 f8f1
7r/p3k1p1/1q3pp1/1p2P2r/1P2R3/1QP4P/P5P1/4R1K1 w - - 1 30,g1h2 h5h3 g2h3 b6f2 h2h1 h8h3
r2q3r/ppp1b2p/4B1p1/2k5/1nPp4/P2n4/5PPP/RQ3K1R b - - 2 19,d3f2 b1b4 c5c6 b4b5 c6d6 b5d5
7Q/pppk1p2/1b1p1N2/4p3/2P1P3/1P6/P1KP1qr1/8 b - - 9 29,d7c6 h8e8 c6c5 e8b5 c5d4 b5d5
3q2k1/6pp/2pp4/4p3/2P1Pn2/5P1P/P2Q1P2/R2R1Kr1 w - - 7 23,f1g1 d8g5 g1f1 g5g2 f1e1 g2g1
8/5p2/2R3k1/r4p1p/8/6P1/6KP/8 b - - 1 40,g6g5 h2h4 g5g4 c6c4 f5f4 c4f4
3r3r/2R1R1pp/5p2/p2PpBPk/P3Pn2/8/7P/7K b - - 2 34,g7g6 e7h7 h8h7 c7h7 h5g5 h2h4
6k1/pR4pp/4n3/1p2r3/1P6/r7/6PP/5RK1 b - - 1 28,a7a5 b7b8 e6d8 b8d8 e5e8 d8e8
1k5r/ppqnbppr/1np3p1/8/4N3/1QP4P/PP2BPP1/2BR1R1K w - - 5 21,b3f7 h7h3 g2h3 h8h3 h1g1 c7h2
5r1k/2q2Nbp/6p1/3Q4/8/2p5/6PP/5R1K b - - 0 36,h8g8 f7h6 g8h8 f1f8 g7f8 d5g8
2b3k1/2Q2p1p/p2p1q1P/3P1p2/2p1n1r1/7R/PPP2PP1/4K3 b - - 4 29,c8e6 c7b8 e6c8 b8c8 f6d8 c8d8
8/8/3B4/1P2R3/6pk/8/1r4PK/8 w - - 0 53,d6c7 g4g3 h2g1 b2b1 e5e1 b1e1
4r1k1/ppp2Rpp/3n4/6q1/3Pr3/5Q2/PPP3PP/5RK1 b - - 0 20,d6f7 f3f7 g8h8 f7f8 e8f8 f1f8
4rr2/ppk3p1/4bqQ1/4R1N1/8/8/P4PPP/3R2K1 w - - 1 23,e5e6 f6f2 g1h1 f2f1 d1f1 f8f1
3r2k1/p4ppp/8/4q3/6Q1/6PP/Pr2nP2/5R1K b - - 0 26,d8d2 g4c8 d2d8 c8d8 e5e8 d8e8
8/8/5kpp/p7/5PP1/1r4K1/1P2R3/8 w - - 2 38,g3h4 g6g5 f4g5 h6g5 h4h5 b3h3
8/8/2R3kp/p2r1pp1/P7/1P3K1P/6P1/8 b - - 3 42,g6h5 g2g4 f5g4 h3g4 h5h4 c6h6
1k5r/pp6/7q/1P3p2/P4P2/4p1P1/2Q2p1P/2R2K2 b - - 1 33,h6h2 c2c7 b8a8 c7c8 h8c8 c1c8
4R3/8/8/5kpp/8/5PP1/1r4K1/8 w - - 2 39,g2h3 g5g4 f3g4 h5g4 h3h4 b2h2
r5k1/4Q1pp/p3p3/q3P3/2p5/8/2P3PP/1n3R1K b - - 0 35,b1d2 e7f7 g8h8 f7f8 a8f8 f1f8
2q1r1r1/2k5/p1R4p/2BpQp2/PP6/2P3P1/7P/6K1 b - - 0 32,c7c6 e5d6 c6b7 d6b6 b7a8 b6a7
1n3rk1/2pq3p/3pp1pP/3N1pB1/1p1P4/1p2P3/1P1Q1PPR/rK1R4 w - - 1 27,b1a1 d7a4 a1b1 a4a2 b1c1 a2a1
6k1/1p2Bpbp/p4np1/8/2P5/1P3pQP/P3q1PK/8 b - - 4 27,f3g2 g3b8 f6e8 b8e8 g7f8 e8f8
3r2k1/5ppp/2p1p1b1/b3N3/2P2B2/2n3N1/5PPP/R5K1 w - - 2 24,a1a5 d8d1 g3f1 c3e2 g1h1 d1f1
5k2/4Rp1p/4pPpK/3pP3/pP1P2P1/P1r5/7P/8 w - - 5 34,e7a7 c3h3 h6g5 h7h6 g5f4 g6g5
rn1q1rk1/pb1pbp2/1p2N1p1/4B2n/3P4/2P5/PPQN1P1P/R3K1R1 b Q - 0 14,d7e6 g1g6 f7g6 c2g6 h5g7 g6g7
4r2k/r6P/3p2Q1/2pn4/2P5/1qb5/8/1BB2R1K b - - 2 37,d5f6 g6e8 f6e8 f1f8 h8g7 h7h8q
4r1k1/ppp2p2/4qp1p/8/2P5/1P1P1Q2/5PPP/1R3K2 w - - 1 29,f3b7 e6e2 f1g1 e2e1 b1e1 e8e1
2r2r1k/p3N2p/b1p2qp1/4R3/2p1Q3/8/PPP2PPP/4R1K1 w - - 2 26,e7c8 f6f2 g1h1 f2f1 e1f1 f8f1
5rk1/np3ppp/1q6/pP2p3/P3N3/4r1P1/5QKP/5R2 b - - 1 27,f8d8 f2f7 g8h8 f7f8 d8f8 f1f8
8/8/p5kp/4R1p1/3nP3/1P1P2NP/P1r3PK/8 w - - 3 40,e5a5 d4f3 h2h1 c2c1 g3f1 c1f1
2k4r/ppp2pp1/6p1/8/q1p1P3/2P3P1/PP1Q2P1/2KR4 b - - 0 21,a4a2 d2d7 c8b8 d7d8 h8d8 d1d8
3r1rk1/p4qp1/1p2p2p/2pnP3/4R1R1/6N1/PP1Q1PPP/6K1 w - - 2 27,d2h6 f7f2 g1h1 f2f1 g3f1 f8f1
5Q2/7p/p5p1/1p4pk/6P1/3P4/PPq1r2P/5RK1 b - - 0 34,h5g4 f8f3 g4h4 f3g3 h4h5 g3h3
3Q4/5ppk/3R4/1P2p2K/2R1P2P/2P3q1/8/8 w - - 0 54,d8g5 g7g6 d6g6 f7g6 g5g6 g3g6
8/pp5Q/1kNp4/3q4/8/1p2P3/P4r1P/1KR1R3 w - - 0 37,c6b4 b3a2 b1a1 d5e5 c1c3 e5c3
5b2/2Q3kp/p5p1/1b6/3P2PB/2P2q1P/8/6K1 b - - 5 40,g7h6 g4g5 h6h5 c7h7 f8h6 h7h6
8/3Rb1kp/6p1/2p1q3/8/1P3Q2/P4PPP/6K1 w - - 9 35,f3e3 e5a1 d7d1 a1d1 e3e1 d1e1
r1r5/6Q1/8/1k6/5PPP/1P4K1/8/8 w - - 1 62,g7f7 c8c3 g3f2 a8a2 f2e1 c3c1
r1b2r2/1p5p/pk6/PP1q1pN1/1n1p4/8/5PPK/R1B2R2 b - - 0 24,b6a7 b5b6 a7b8 c1f4 d5e5 f4e5
4k2r/p2n1p2/4p3/2B5/3P2pP/4q1P1/P3r1BK/2RQ1R2 w k - 0 24,c5d6 h8h4 g3h4 e3h3 h2g1 h3g2
r3k2r/b1pb3q/p1np4/1p1BpP2/6p1/2PP2P1/PP3PKN/R1BQ1R2 w kq - 1 19,f1h1 h7h3 g2g1 h3g3 g1f1 g3f2
4Q3/pp3pp1/1bpR3p/8/4PPk1/2P3P1/Pr5P/7K w - - 1 32,e8f7 b2b1 d6d1 b1d1 h1g2 d1g1
1r2r1k1/R1p2ppp/2Qb4/8/2pP4/1qP1B3/5PPP/R5K1 w - - 1 26,a7a4 b3b1 a1b1 b8b1 e3c1 b1c1
r5k1/pp3qpp/3p4/4n2r/3Q1Bn1/2N3P1/PP4P1/4RRK1 w - - 6 23,f4e5 h5h1 g1h1 f7h5 h1g1 h5h2
3r2k1/pp3ppp/2p2n2/4Q3/1PPN4/P1n3PB/5PKP/2q5 b - - 3 25,d8d4 e5b8 d4d8 b8d8 f6e8 d8e8
8/p3pRk1/6p1/6b1/8/2P5/PP2q3/1K3R2 b - - 1 29,g7g8 f7f8 g8h7 f1f7 h7h6 f8h8
1r6/p1k3p1/2p2q1p/P7/5pQ1/3P4/2P2PPP/1R4K1 w - - 1 28,b1b8 f6a1 b8b1 a1b1 g4d1 b1d1
2r1r1Bk/1p1n1pp1/1qn1pb2/3p4/p4B2/1NP4R/PPQ2PPP/R5K1 b - - 1 20,h8g8 c2h7 g8f8 f4d6 c6e7 h7h8
1r6/4R1kn/1q4p1/3B1b2/3P4/5PP1/PP3P2/2K4R b - - 2 27,g7f6 e7f7 f6g5 f3f4 g5g4 h1h4
4k3/8/p7/1p3QN1/7P/2p5/1b4PK/3q4 b - - 3 52,c3c2 f5f7 e8d8 g5e6 d8c8 f7c7
3r2k1/5ppp/pp6/8/5P2/P3PQPb/6rP/5K2 b - - 4 33,d8d2 f3a8 h3c8 a8c8 d2d8 c8d8
8/1b6/RP4k1/8/2P4P/N1P3P1/r4P2/6K1 w - - 3 43,a6a7 a2a1 a3b1 a1b1 g1h2 b1h1
r4k1r/p2Qbpp1/qp2p3/4N3/P2PP3/6P1/7P/1RR3K1 b - - 5 28,a6e2 c1c8 a8c8 d7c8 e7d8 c8d8
4r1k1/pb2rp2/1p4pp/4q3/8/PQ6/BP3PPP/2RR2K1 w - - 0 28,b3g3 e5e1 d1e1 e7e1 c1e1 e8e1
r6k/6rP/pq1pQb2/1p1P1B2/5p2/5Pn1/PPP3PK/R3R3 b - - 10 34,b6c7 e6e8 a8e8 e1e8 g7g8 h7g8q
r3r1k1/2q1pp1p/1p1p1bpB/p1pPn3/2P2Q2/P4BP1/1P2RP1P/4R1K1 b - - 3 19,e5d3 f4f6 e7f6 e2e8 a8e8 e1e8
r3r1k1/p1p2ppp/1bp2n2/3pQ1N1/1P1p4/P7/2bN1PPP/R1B2K1R w - - 2 16,e5f4 c2d3 f1g1 e8e1 d2f1 e1f1
5r2/5pk1/pq1N1rpp/1p1QR3/1P6/8/1PP2PPP/3R2K1 w - - 1 24,e5e7 b6f2 g1h1 f2f1 d1f1 f6f1
1r5k/R5Rp/Q1p1pq2/2Np1p2/1P1P1Pn1/2P3P1/8/6Kr w - - 3 30,g1h1 f6h6 h1g1 h6h2 g1f1 h2f2
r4r2/1p3Bk1/2p2pPp/p3p3/1q2N1bN/3PK3/2P3PP/3R1R2 b - - 5 24,g4d1 h4f5 g7h8 g6g7 h8h7 e4f6
5rk1/2Q3p1/5q1p/4p3/8/2P1P3/PP3rPP/R4RK1 w - - 0 22,f1f2 f6f2 g1h1 f2f1 a1f1 f8f1
rnb3k1/ppp4p/6pB/3pQ3/3P4/P2q4/5P1P/R4KR1 w - - 4 21,f1g2 c8h3 g2h1 d3f3 g1g2 f3g2
2r3k1/1bq2n2/5b1p/1p4pQ/p2p4/P2P4/BP2R1PP/5R1K w - - 0 32,f1f6 c7c1 e2e1 c1e1 f6f1 e1f1
6Q1/pp1q2p1/6kp/2RP4/1P5P/P4pP1/1B3P1K/4r3 w - - 1 34,c5c4 e1h1 h2h1 d7h3 h1g1 h3g2
3q2k1/Qp3ppp/7r/4p3/1P6/P7/6PP/5R1K b - - 0 31,b7b5 a7f7 g8h8 f7f8 d8f8 f1f8
8/R4pkp/4p1p1/3p2P1/5N1P/4K3/1r1n1P2/8 b - - 4 49,d2e4 f4e6 g7h8 a7a8 b2b8 a8b8
4r1k1/p5pp/1p2q3/2ppPQ2/8/3P4/PP4PP/5RK1 b - - 1 22,e6e5 f5f7 g8h8 f7f8 e8f8 f1f8
2r5/p2k1qp1/1p1bp3/3n4/7B/7Q/P3RPPP/3R2K1 w - - 5 26,d1d5 c8c1 d5d1 c1d1 e2e1 d1e1
r4rk1/pp4pp/3pp3/2q5/8/P7/1P3PPP/R1BQR1K1 w - - 0 19,e1e6 c5f2 g1h1 f2f1 d1f1 f8f1
4rrk1/p1p2ppp/1p6/2bPp1qn/2P5/PP1P1B2/1BQ3PP/4RR1K w - - 1 19,b3b4 h5g3 h2g3 g5h6 f3h5 h6h5
6k1/3r1pp1/R3b2p/1p6/4BP2/1r1N2P1/5K1P/8 b - - 0 40,d7d3 a6a8 e6c8 a8c8 d3d8 c8d8
r4rk1/5p2/p1p1bB2/1pp1p1p1/4Pb2/3P4/PPP3KN/7R b - - 1 26,g8h7 h2g4 f4h2 h1h2 h7g6 h2h6
2k5/1pp3p1/p1p2p2/P1Nb3R/1P5p/2KP4/1RP1r1r1/8 b - - 1 34,g2g4 h5h8 d5g8 h8g8 e2e8 g8e8
r3r1k1/ppb2p2/2pq1n1Q/5BN1/2PP4/6PP/PP3p2/3R1R1K b - - 1 20,d6g3 f5h7 f6h7 h6h7 g8f8 h7f7
r3k2r/pb2nppp/1p1Q4/7q/8/1P6/P4PPP/3RR1K1 b kq - 0 19,h5g5 d6d7 e8f8 d7d8 a8d8 d1d8
4r1k1/p1p2ppp/1r6/8/2QP4/2P1q3/P3N1PP/R4R1K b - - 1 20,e3e2 c4f7 g8h8 f7f8 e8f8 f1f8
1kr5/pp3p2/4b3/3p1n2/5P2/4bB2/P5PP/1Q1R3K w - - 4 26,f3d5 f5g3 h2g3 c8h8 b1h7 h8h7
r2k3r/ppp2Qpp/8/8/8/q7/P1P2P1P/RK1R4 b - - 2 22,d8c8 f7d7 c8b8 d7d8 h8d8 d1d8
5rk1/2p2ppp/1p4q1/1Q1p4/3P3n/2P1P3/P4PPP/2RR3K w - - 7 22,g2g3 g6e4 f2f3 e4f3 h1g1 f3g2
8/p1p3k1/3b3p/5b2/P1B4P/1P6/3r1B2/5RK1 w - - 0 33,f2e3 d6h2 g1h1 f5e4 f1f3 e4f3
6k1/p2n1r2/1qppr1pQ/1p2p3/4P3/2NPR3/PPP2PPP/R5K1 w - - 5 25,e3h3 b6f2 g1h1 f2f1 a1f1 f7f1
8/3R3p/p5pk/5n2/P2p1KP1/1Pr4P/8/8 b - - 3 36,c3h3 g4g5 h6h5 d7h7 f5h6 h7h6
6Q1/6pk/p4p1p/1p2pb2/3q4/1B3PK1/PP4PP/8 b - - 5 31,h7g6 b3f7 g6g5 g8g7 f5g6 g7g6
3r2k1/3r1ppp/p3p3/1p6/7q/PB3Q1P/1P4P1/5R1K b - - 2 28,d7d3 f3f7 g8h8 f7f8 d8f8 f1f8
r1b2rk1/1pp1qpp1/6n1/p2p2PQ/2BpP3/8/PPP2PP1/2KR3R b - - 1 17,f8e8 h5h7 g8f8 h7h8 g6h8 h1h8
8/5pk1/P5b1/2R4p/2P1P1p1/3r2K1/R7/8 w - - 0 51,g3h4 d3h3 h4g5 f7f6 g5f4 h3f3
3r4/1k3q2/2nr1p1p/1R1Np1p1/8/7P/3R1PPK/8 b - - 0 47,b7a6 b5b6 a6a7 d2a2 c6a5 a2a5
5r1k/6pp/1p4b1/p1p5/5Q2/1P6/P5PP/3R3K b - - 0 31,f8f4 d1d8 g6e8 d8e8 f4f8 e8f8
7k/2p1b1pp/p2p1B2/5n1P/2P1r3/N2p1n2/P4P1P/1R1K2R1 b - - 0 23,e7f6 b1b8 f6d8 b8d8 e4e8 d8e8
3Q4/5pk1/1R4pp/8/1p3q2/1P1b2PP/r5BK/8 b - - 2 43,f4d2 d8f6 g7g8 b6b8 g8h7 f6f7
1rq2rk1/R2R1ppp/n7/8/5Q2/Pp4P1/1P3PBP/1K6 w - - 0 27,d7f7 c8c2 b1a1 c2d1 f4c1 d1c1
1B3rk1/5ppp/2p5/p2p1Q2/Bp5P/2b3P1/P1P1q1PK/5R2 b - - 0 23,f8b8 f5f7 g8h8 f7f8 b8f8 f1f8
rn3rk1/p3b1pp/1pp3p1/4P3/7q/2N1Q3/PP3PPP/R1B1R1K1 w - - 0 16,e3e4 h4f2 g1h1 f2f1 e1f1 f8f1
8/6p1/1PQ2p1k/8/5q2/6p1/6B1/4RK2 w - - 3 43,f1g1 f4f2 g1h1 f2e1 g2f1 e1f1
r6k/pp3Qp1/2p4p/2q5/4R3/P1b3Pb/2B4P/R6K b - - 5 27,c3a1 e4e8 a8e8 f7e8 c5f8 e8f8
1N5r/2p2kpp/4pp1q/1B6/P2P4/6bb/6P1/R2QR2K w - - 0 26,g2h3 h6h3 h1g1 h3h2 g1f1 h2f2
4rrk1/2p3p1/p7/4p3/1PP1Q3/P5R1/3q1PPP/R5K1 w - - 3 27,e4g6 d2f2 g1h1 f2f1 a1f1 f8f1
1Q6/6pk/5q2/2B2p1p/8/5B2/5PPP/6K1 w - - 1 36,b8b4 f6a1 f3d1 a1d1 b4e1 d1e1
2k5/ppq2p2/2p1pp1r/8/PP1P1b2/2P2B2/4QPP1/R4R1K w - - 1 28,h1g1 f4h2 g1h1 h2g1 f3h5 c7h2
r1q2b1r/6pp/4Rpk1/2n1pN2/Pp1pP1Q1/1P6/1B3PPP/5RK1 b - - 10 24,g6f7 e6e7 f8e7 g4g7 f7e6 g7e7
r1b2r1k/bpp1R1pp/p2p1q2/5p2/3P3N/1BP3Q1/P4PPP/R5K1 b - - 5 19,f6e7 h4g6 h7g6 g3h3 e7h4 h3h4
4r1k1/R6R/6p1/5p2/8/PPb2P1P/2P3P1/1K6 w - - 1 36,h7d7 e8e1 d7d1 e1d1 b1a2 d1a1
5N1k/p2n3P/r2p2pQ/4b3/1p1pP3/1q1PP3/1PK5/3R2NR w - - 2 26,c2d2 b3b2 d2e1 e5g3 e1f1 b2f2
3r2k1/p3Qppp/4p3/8/2q5/4B3/PPr2PPP/R4K1R w - - 1 23,f1g1 c2c1 a1c1 c4c1 e3c1 d8d1
1k5r/qpp5/2n1Q1p1/p3p3/P3P3/6r1/3N3P/1R2R2K w - - 0 32,e6c6 h8h2 h1h2 a7f2 h2h1 f2g2
3r2k1/1p4pp/p3p3/3p4/1P2q3/2r4P/5QP1/5R1K b - - 5 36,c3c2 f2f7 g8h8 f7f8 d8f8 f1f8
6kr/1r3ppp/2p5/2BNp3/4n3/8/5PPP/3Q1K2 b - - 0 25,e4c5 d5e7 b7e7 d1d8 e7e8 d8e8
3n1rk1/R7/1P4p1/7p/3pp3/4Q3/2q2PPP/2R3K1 w - - 0 32,e3g5 c2f2 g1h1 f2f1 c1f1 f8f1
1k4r1/pppQ1p2/2p3b1/4q1N1/P6n/1P1P4/2P2P2/4RR1K b - - 3 30,e5g5 e1e8 g8e8 d7e8 g5d8 e8d8
3k4/p3p1r1/1p3r2/PR1p3p/1Q1P1q2/2P4B/5KPP/1R6 w - - 0 35,f2g1 f4f2 g1h1 f2f1 b1f1 f6f1
2r1r1k1/5pp1/1p1B2np/8/1Q6/1B6/PP3PPP/5qK1 w - - 0 27,g1f1 c8c1 b3d1 c1d1 b4e1 d1e1
r5k1/ppQ3pp/3pp3/1q6/4P1n1/4PR2/P1P3P1/3K4 b - - 2 23,b5c6 c7f7 g8h8 f7f8 a8f8 f3f8
