FEN,Movimientos
6k1/1q5p/p4rp1/4Q3/P1r5/4P3/1P3PPP/1K1R3R w - - 0 30,e5f6 b7e4 d1d3 e4d3 b1a1 c4a4
1k1B3r/pp3p2/2p1p3/2QpP2p/8/2PBP2q/PP3P2/3R1R1K w - - 1 25,h1g1 h8g8 d3g6 g8g6 d8g5 g6g5
1kr5/ppp4R/6p1/1P1Q4/5B2/6PB/4rq1P/2R4K w - - 3 39,h3g2 e2e1 c1e1 f2e1 g2f1 e1f1
1r4k1/2p2ppp/2n5/p1P5/2QN4/P3q2P/1r4P1/2R2R1K b - - 1 29,e3d4 c4f7 g8h8 f7f8 b8f8 f1f8
5r1k/3R3p/1p2Q1p1/1P2p3/4r3/8/P3qPPP/5RK1 w - - 4 27,e6e7 e2f2 f1f2 e4e1 f2f1 e1f1
3r3r/1kpq1ppp/Rp3n2/4pP2/1P2p3/2PPQ2P/2P2BP1/R5K1 b - - 2 19,d8a8 a6b6 c7b6 e3b6 b7c8 a1a8
5r1k/p4Pp1/3b2PQ/5q2/3P4/nPN4P/P7/2K3RR b - - 0 32,g7h6 g6g7 h8h7 g7g8q f8g8 f7g8q
r6r/1k1B3p/2R2p2/4p1p1/1p2q3/1Q2B3/1P3PPP/6K1 w - - 0 24,b3f7 a8a1 c6c1 a1c1 e3c1 e4e1
8/8/5r2/6K1/6R1/3Pkr2/1P4R1/8 w - - 4 57,d3d4 f3f5 g5h4 f6h6 h4g3 f5f3
r1br2k1/p1p2pb1/1p6/4P2Q/2pnNBpP/6P1/PPP5/2K2N1R w - - 2 19,e4g5 d4e2 c1b1 d8d1 f4c1 d1c1
8/6pk/R5pp/p7/4B3/6P1/r6r/6K1 b - - 3 53,h2e2 e4g6 h7h8 a6a8 e2e8 a8e8
r2q1rk1/2pn1p1p/p5B1/3p3n/2N4b/P3PP2/1BQ2P2/R3K1R1 b Q - 0 17,h7g6 g1g6 f7g6 c2g6 h5g7 g6g7
r4rkR/1p3pp1/p1p3P1/4Qb2/8/P7/BPP3P1/2K1Nq2 b - - 1 23,g8h8 e5h2 f5h3 h2h3 h8g8 h3h7
6r1/7k/5bpp/3pN3/p1qP4/Q3P1P1/5PK1/7R b - - 1 37,f6e5 a3e7 e5g7 h1h6 h7h6 e7h4
2r3k1/q1r3p1/3p1p1p/p2b1P1B/1p1p4/1P6/P1P1Q1PP/2R1R2K b - - 1 28,a7b7 e2e8 c8e8 e1e8 g8h7 h5g6
r2b2k1/1q3pp1/1pN1p1n1/1Pn1P1PQ/5B2/p1P3P1/5P2/6KR b - - 1 31,a3a2 h5h7 g8f8 h7h8 g6h8 h1h8
r3q1k1/pppbr2p/6pQ/4np2/5P1P/2BB4/PPP3P1/3R1K1R b - - 0 19,e5g4 d3c4 d7e6 c4e6 e7e6 h6g7
1k4r1/p3R3/1p1p3p/1P6/P5q1/8/1Q4PP/5R1K w - - 0 31,f1f7 g4d1 e7e1 d1e1 f7f1 e1f1
r3r1k1/3q1pp1/p2p3Q/1ppPp1N1/4P3/2P5/PP3P2/2K3RR b - - 0 25,g7h6 g5e6 g8h7 g1g7 h7h8 h1h6
5Rrk/7p/p2p2pB/2p1q1Pn/2PbP3/5Q1P/4r1K1/5R2 w - - 0 30,f3e2 e5g3 g2h1 g3h3 e2h2 h5g3
r3r1k1/pp3pb1/2n3p1/2p2qP1/2Bp3Q/2P2P2/P1P2P1R/2K4R b - - 7 19,d4c3 h4h8 g7h8 h2h8 g8g7 h1h7
5rk1/p1p2qpp/2Q5/6b1/3Pp3/4P3/PP4PP/R1B3K1 w - - 3 22,c1d2 f7f2 g1h1 f2f1 a1f1 f8f1
7r/4bkNp/8/3PP2Q/1p2p1P1/2q1B3/P6P/1K6 b - - 2 28,f7g7 e3h6 g7g8 h5e8 e7f8 e8f8
7k/1p3Q2/2p3p1/2N4p/1q3BnP/6P1/5P2/6K1 w - - 0 32,c5e6 b4e1 g1g2 e1f2 g2h3 f2f1
6k1/pp4pp/2b2p2/5Pn1/1B4P1/P4r1P/1P6/3RK3 b - - 13 37,f3h3 d1d8 c6e8 d8e8 g8f7 e8f8
8/p6k/1b2pp1p/1N6/Q4PK1/1P1R2P1/P4r1P/8 w - - 0 36,g4h5 f2h2 h5g4 f6f5 g4f3 h2f2
6k1/3Q1ppp/2p3n1/qp1p4/3P4/P1P5/6PP/4R1K1 b - - 0 32,a5c3 e1e8 g6f8 e8f8 g8f8 d7d8
2Qr3k/p2r3p/1p3RpP/4pp2/8/P7/3q1PP1/2R3K1 b - - 9 44,d8c8 c1c8 d7d8 f6f8 d8f8 c8f8
