FEN,Movimientos
r4k1Q/r2npp2/1q1p1bp1/1p6/3N1P2/1P2P1P1/1BP5/1K1R3R b - - 6 23,f6h8 h1h8 f8g7 d4e6
r1bq2k1/6pp/p2pp3/1pp5/4Pn2/PPNQ1P2/2P2P1P/3R1RK1 w - - 0 18,d3e3 d8g5 g1h1 g5g2
6r1/3nqk2/4p3/P2p1prp/3P4/2P2P2/1P1NQP2/R5RK w - - 0 27,f3f4 g5g1 a1g1 e7h4
2r5/5k2/P6Q/7p/1P1n4/P6P/1r3q2/2K2RR1 w - - 4 44,c1d1 b2b1 h6c1 b1c1
2r3rk/1b3p1Q/pp4p1/3pPN2/1Pq5/2P3R1/2P3PP/R5K1 b - - 0 23,h8h7 g3h3 c4h4 h3h4
5rk1/pp4n1/3r3Q/3n4/1q2N3/1P1B1p2/P4P1P/R4RK1 w - - 1 30,e4d6 b4g4 g1h1 g4g2
k6r/1bR2Qp1/4p3/8/4N1K1/b4PP1/1q5P/8 b - - 2 34,b7e4 c7a7 a8b8 f7c7
8/8/P4k2/1Q3pp1/1p1qp3/8/PKP1B3/8 w - - 5 39,b2b3 d4c3 b3a4 c3a3
q6k/6p1/p4p1p/5Q2/1B6/3r4/5RKP/8 w - - 6 47,g2f1 a8h1 f1e2 h1d1
6rk/R5pq/2p5/3bB1Q1/8/5PK1/8/8 b - - 6 40,h7h1 e5g7 g8g7 g5g7
1R1b4/3P1k2/8/8/8/1P5P/2r1p1P1/1R3K2 w - - 0 45,f1e1 d8h4 g2g3 h4g3
r1b2r1k/pp6/5PQ1/2bp4/8/4q1B1/PPPN2PP/R6K b - - 0 21,f8g8 g6h5 e3h6 h5h6
6k1/5p2/6r1/ppp5/4P2Q/q2r4/2RR1KB1/8 b - - 1 38,d3g3 d2d8 g8g7 h4h8
3rkb1r/1b4pp/p1qpPR2/1pp3N1/4P3/8/PPPP2PP/R1BQ2K1 b k - 0 15,g7f6 d1h5 e8e7 h5f7
rn2k1nr/ppp2p1p/8/3pP3/1q1P1Bbp/3Q4/PPPK2PP/RN3B1R w kq - 3 11,d2c1 b4e1 d3d1 e1d1
r7/2q1kp2/p2pp3/8/4QP2/4B3/PPP1r2P/1K1R3R w - - 1 22,e4a8 c7c2 b1a1 c2b2
1r3nk1/5p2/1r3q1N/1P2p1pQ/pRBpP3/P7/8/6K1 b - - 0 37,f6h6 h5f7 g8h8 f7g8
8/1PR5/7p/6p1/3P1k2/3B3K/1r6/8 w - - 3 58,d3a6 g5g4 h3h4 b2h2
5rk1/pp6/4r2p/2qp2pQ/P4p1n/1B5P/1PP4K/3RR3 w - - 0 29,e1e6 c5f2 h2h1 f2g2
7r/2kN1p2/Br2p2p/Q2pP3/5q2/5n2/5PPP/5RK1 w - - 2 30,g2f3 h8g8 g1h1 f4f3
r1br2k1/1p3pp1/p2p1q2/3P2BQ/P3B3/8/4KPPP/8 b - - 2 25,f6e5 h5h7 g8f8 h7h8
r2q1r1k/p3b3/n1pp1nQ1/1p3B2/8/P1N4P/1PP2PP1/R4RK1 b - - 0 18,f8g8 g6h6 f6h7 h6h7
1R1R4/5ppk/5n1p/5Nq1/8/5Q1P/r3rPP1/6K1 b - - 4 32,e2f2 d8h8 h7g6 f5e7
2r1r1k1/1b2bppp/p2pp3/q7/2R2P2/1P2BN1P/P1Q3P1/1B3K2 b - - 2 24,c8c4 c2h7 g8f8 h7h8
8/1pkb4/5p1p/p1Qp1n2/P1pP3r/2P3RP/1P3q2/R6K b - - 3 38,c7b8 g3g8 d7e8 g8e8
5rk1/ppp3pp/3p4/3Pp3/2PnNP2/8/PP4PP/5RK1 w - - 1 22,f4e5 d4e2 g1h1 f8f1
7k/1pp3pp/p2p2r1/2b2r2/2Q2P1q/1P2PP2/PB5P/4RR1K w - - 1 31,c4e4 h4h2 h1h2 f5h5
3k3r/1p1qb1p1/p2p4/8/5n2/2N1Q3/PPP2PK1/R3R3 w - - 0 24,e3f4 d7h3 g2g1 h3h1
r6r/1p2pkbp/3p1p2/p1pP3P/Pqn1P1P1/2N1B3/1PP1QP2/2KR3R w - - 1 19,b2b3 b4a3 c1b1 a3b2
r2r3k/4n1b1/p3Q2p/3RB3/1p6/2P5/qP5P/1NK5 b - - 2 30,e7d5 e6h6 h8g8 h6g7
r1b3k1/1pp2q1p/p2p2pB/3P1p2/5P2/3n2P1/P3R1BP/Q5K1 b - - 0 22,d3c5 e2e8 f7e8 a1g7
2rk1b1r/1Q2pppp/4q3/1B1Nnb2/3Pn3/8/PP3PPP/R1B1K2R b KQ - 0 13,e4d6 b7b6 c8c7 b6c7
5k1r/1Q1n4/1p1Ppp2/8/PpP2P2/2q4P/6P1/6RK w - - 4 36,b7d7 h8h3 g2h3 c3h3
5r2/pp2Nppk/1q2p1Qp/7P/8/1P2rR2/P1n3P1/5RK1 b - - 3 30,f7g6 h5g6 h7h8 f3f8
2r3k1/6p1/7p/1P2p3/pq1pR3/1r1P2P1/1KP1Q1P1/2R5 w - - 0 34,c2b3 b4b3 b2a1 c8c1
5B1Q/pp3q1p/3p2k1/2p3p1/2P5/1P5P/P3n1P1/7K w - - 4 33,f8d6 f7f1 h1h2 f1g1
R7/8/5pk1/5R2/2Pr2K1/1P4P1/P6r/8 w - - 3 44,f5f4 f6f5 g4f3 d4d3
7k/ppp4p/3q2p1/6r1/P3Q3/3B2PP/7r/R4R1K w - - 2 30,h1h2 d6g3 h2h1 g3h3
q1b3k1/5ppp/8/1p1pr3/r3B3/4P1P1/2Q2P1P/1N1R2K1 b - - 0 26,d5e4 d1d8 e5e8 d8e8
6k1/5ppp/3p4/R1pP1bq1/2Pn1N2/1P4PP/5PQK/4r3 b - - 2 28,f5e4 a5a8 g5d8 a8d8
6k1/1bR1qp1p/1p4pb/1N1p4/4r3/P3PQP1/1P3KPP/8 b - - 11 34,e7e5 f3f7 g8h8 f7h7
7r/pp4R1/2p5/5k2/6p1/P2PBnP1/1PP2P2/2K5 w - - 1 30,c1d1 h8h1 d1e2 h1e1
q2r2k1/4R1p1/pp5p/2n2p1Q/P2r4/1P4P1/2P2P1P/1R4K1 b - - 1 31,d4d7 h5f7 g8h8 f7g7
3R1bk1/4rp2/p6p/1p3P2/2pQ2P1/5K2/PP3P2/6q1 b - - 8 38,h6h5 d8f8 g8f8 d4h8
2r5/pq3pk1/1p4p1/3r3p/4pQ2/1P2P3/PR3PPP/3R2K1 w - - 0 26,d1d5 c8c1 d5d1 c1d1
5r1k/ppq4p/2p1R3/3p4/3P1bQ1/2P5/PP3RPP/6K1 w - - 2 28,f2e2 f4h2 g1h1 f8f1
1r4k1/p3bppp/2Q1p3/6P1/2p4P/1PqP4/P1P2P2/2KR3R w - - 0 23,c6c4 e7a3 c1b1 c3b2
6QB/1ppk4/3pp3/4p3/1nP5/qp1P4/P2QPP2/1K6 w - - 1 32,d2b4 a3a2 b1c1 a2c2
7Q/p3kppp/4p1b1/8/8/4PPbP/P2qNK2/4R1NR w - - 5 26,f2f1 d2e1 f1g2 e1f2
2r2rk1/p4p1p/1p3Qp1/6P1/7q/2R1R3/PPP2P2/1K6 w - - 0 31,c3c8 h4h1 e3e1 h1e1
1k4r1/ppb4R/8/P3p3/1P2Q2p/2P3rP/5qP1/4RB1K w - - 3 38,e4e2 g3h3 g2h3 f2g1
1r1r1k2/p7/3q1pQ1/3p1p2/3PnP2/7R/PPP4P/3R2K1 b - - 2 27,f8e7 h3h7 e7e6 g6f7
5rk1/pp1Q2pp/3p3q/4p3/1PPp1b1r/3P2N1/P4PB1/2R2RK1 w - - 5 28,g3f5 h4h1 g2h1 h6h2
2r2k2/p1rR4/q3p2p/4P1R1/8/6QP/P4PPK/8 b - - 0 35,c7d7 g5g8 f8e7 g3g7
r1bR4/1p4pk/p3p3/5rP1/1q3P2/6Q1/1P4PK/3R4 b - - 0 30,b4f4 g5g6 h7h6 d8h8
2r3k1/pp2Rpp1/6p1/8/1P1R4/P6P/2r2PP1/6K1 b - - 2 25,c8c7 e7e8 g8h7 d4h4
8/4k3/8/2PR1p1p/3P1pp1/3r1P1P/6PK/8 w - - 0 43,d5f5 g4g3 h2g1 d3d1
r5r1/1pp1q1pk/2bp1p1p/4pP2/4P2R/P2PQ2P/5RP1/2B3K1 b - - 3 30,c6e8 h4h6 g7h6 e3h6
2br2k1/1pp4p/4p1pR/2b5/4Q3/1P1B1N2/3P1PP1/q1KR4 w - - 0 19,d3b1 c5a3 c1c2 a1b2
2Q5/ppp1rppk/3p1q1p/3P4/1P6/P7/2P2PPP/4R1K1 w - - 2 23,e1e7 f6a1 e7e1 a1e1
3r4/1pp4Q/2k1pb2/p3q3/8/2N5/PPP3PP/3R3K w - - 3 25,h7h3 d8d1 c3d1 e5e1
r3r1k1/pR2qppp/8/4p3/8/5Q2/2P2PPP/5RK1 b - - 0 20,e7c5 f3f7 g8h8 f7g7
rn4rk/1b2b1p1/4NnQB/pq1p4/3P4/8/PPP3PP/R4RK1 b - - 0 20,b5e8 h6g7 g8g7 g6g7
r5k1/5ppp/b3p3/8/p2p2n1/P1r2N2/BPP1N1P1/RQ2RKBq w - - 3 29,b2c3 g4e3 f1f2 h1g2
5r2/2k5/1p4R1/2p3P1/p2p4/3P1rK1/PPP1R3/8 w - - 3 38,g3g4 f8f4 g4h5 f3h3
2k4q/pp1bb3/5nN1/2p2PB1/3nP3/6pr/PPP3B1/R2Q1R1K w - - 0 23,h1g1 h3h1 g2h1 h8h2
2r2rk1/5ppp/p1q5/1p1np3/4N3/3Q3P/PP3PP1/1B1R3K b - - 12 29,d5f6 e4f6 g7f6 d3h7
6k1/5pp1/1pN1p1qp/1PbbQ3/5P2/r7/5PPP/2R2RK1 w - - 8 31,g2g3 a3g3 h2g3 g6g3
r1bqkbnr/1ppn3p/p2pp1B1/4p2Q/3N1P2/8/PPPP2PP/RNB1K2R b KQkq - 0 8,h7g6 h5g6 e8e7 g6e6
k4q2/1b6/p7/2p1R3/P1Q5/2PP1P2/1P3KrP/8 w - - 0 40,f2g2 f8f3 g2g1 f3g2
1k1r1b1r/1ppb1ppp/2qp4/1N6/Q7/4B3/PPP2PPP/R3R1K1 b - - 4 19,c6b5 a4a7 b8c8 a7a8
r1b2rk1/1pqpbpp1/4p1n1/p3n2Q/3pNB2/P2B4/1PP2PPP/R3R1K1 b - - 5 15,g6f4 e4f6 e7f6 h5h7
3r2rk/pp4pp/8/2P4Q/4R3/3p2RP/1q3PP1/6K1 b - - 1 30,d3d2 h5h7 h8h7 e4h4
2r2r1k/1p1qpp2/p2p1R1P/2pPn3/P1P1P1bQ/1PN5/3B3P/R5K1 b - - 0 30,e7f6 h4f6 h8h7 f6g7
