FEN,Movimientos
r2qrnk1/pp1b2pB/4pb2/3pN2Q/1P1B2P1/P7/5P1P/R4RK1 b - - 0 21,f8h7 h5f7 g8h8 e5g6
3n2k1/p1p2rp1/1p1p3B/4p3/3qP3/P2P2RP/2P1Q1P1/7K w - - 8 26,e2g4 f7f1 h1h2 d4g1
r2q1r2/1p2np1k/p2pb2R/2p1p1pN/4P1P1/3P1Q1P/PPP3B1/R5K1 b - - 0 20,h7h6 f3f6 e7g6 f6g7
2NR1k2/5ppp/p3n3/1p6/6P1/1P4BP/Pq3bBK/4R3 b - - 2 35,e6d8 g3d6 f8g8 e1e8
3rr3/6pk/p2qpp1p/2p4Q/2Pp2R1/8/PP3PPP/3R2K1 b - - 3 29,d6e5 h5g6 h7h8 g6g7
1r3b1k/1q1n1Pp1/3p3p/p1pN1P1P/2pr4/2B5/PPP3Q1/1K4RR b - - 0 27,d4d5 c3g7 f8g7 g2g7
3r2k1/2p2ppp/p1Q1pq2/1p5r/3P3n/P1P3P1/1PB2P2/R4RK1 w - - 0 25,c6c7 h4f3 g1g2 h5h2
6k1/2p2p1p/2p2qp1/P1Q5/3p4/2PP3P/4rPP1/R5K1 w - - 0 25,a5a6 f6f2 g1h2 f2g2
4rknQ/pp4p1/2p2bP1/3pq1B1/8/8/PPPN4/2K2R2 w - - 6 27,g5f6 e5e1 f1e1 e8e1
r1b2rk1/pppp1ppp/6q1/2b1Pn2/2B1QP2/2P5/PP4PP/RNB2R1K w - - 5 13,c4d3 f5g3 h2g3 g6h5
r1b2qk1/p2p1ppp/1ppQ4/8/1B1P4/8/PP3PPP/4R1K1 b - - 3 20,f8d6 e1e8 d6f8 e8f8
2r3k1/5ppp/b3p3/p3N3/P2PBP1q/B3P3/2Q3PP/1R2b1K1 w - - 1 28,c2d1 h4f2 g1h1 f2f1
r2r2k1/pR3pnp/2p3p1/8/2PP2P1/3B1Q1P/P2q1P2/6K1 b - - 0 25,a8b8 f3f7 g8h8 f7g7
7k/pp3p1P/2p5/2P5/3b1P1q/4rQ1P/PP6/R4R1K w - - 0 25,f3g4 e3h3 g4h3 h4h3
1k1r1bnr/1p1q4/1P1p1p2/Q1p5/1P1pP3/3P3b/P4K2/R3R3 b - - 0 25,g8e7 a5a7 b8c8 a7a8
6k1/3Q3p/3nrbpB/5p2/4q3/8/3R2PP/3R3K w - - 0 38,d2d6 e4e1 d1e1 e6e1
8/2p5/1kNp4/1p1P3p/5rbP/1KP3R1/PP6/8 w - - 0 48,g3e3 g4d1 b3a3 f4a4
r4r1k/3n2p1/2p4R/p2q4/3P4/8/PPQ3P1/K6R b - - 0 28,g7h6 h1h6 h8g7 c2g6
r7/pp3k2/n7/5bP1/8/2B1Q3/1PP3qP/1K1R3R w - - 1 28,d1f1 g2c2 b1a1 c2a4
6k1/1b3r1p/p3p1pQ/3pP3/P1pP4/6PR/1q3r1P/1B2R2K w - - 0 33,b1g6 f2f1 e1f1 f7f1
6k1/1bR2pp1/p6p/1p6/q4P2/4p3/1P1Q1PPP/6K1 w - - 0 29,d2e3 a4d1 e3e1 d1e1
5rkR/2q1p3/3pPnp1/p2P1N2/1pp2Q2/8/PPP2P2/2K5 b - - 0 27,g8h8 f4h6 f6h7 h6g7
7k/p3Qnp1/1p3P1p/2p5/2q5/8/P4P2/6K1 b - - 0 43,c4a2 e7f8 h8h7 f8g7
8/2R2pkp/3p4/2b2PKb/7P/1r6/3p4/8 b - - 1 39,d2d1q f5f6 g7h8 c7c8
6k1/p2Q2p1/4p3/3p4/3Pp3/5qP1/PP5P/5B1K w - - 1 25,f1g2 f3d1 g2f1 d1f1
7k/4r1p1/6Pp/1pP5/3p2qP/1Q6/6P1/5R1K b - - 4 43,g4g6 f1f8 h8h7 b3g8
1k2r3/2p5/8/p2pP3/qPbPnQp1/B1P5/1K4P1/1NR1R3 w - - 1 40,e1e4 a4b3 b2a1 b3a2
r4r2/pp1bq1bk/2pp4/4N1Pp/2B1Pp2/3P3P/PPP1Q1RK/5R2 b - - 0 23,g7e5 e2h5 h7g7 h5h6
3rR1k1/5p1p/p1p2qp1/PpQ5/2P5/1P1r3P/5PP1/4R1K1 b - - 1 29,d8e8 e1e8 g8g7 c5f8
r4n1k/8/3B2nP/8/4P3/1R3P2/p1rN3R/1K6 w - - 0 39,b1a1 c2c1 d2b1 a2b1q
7k/pp6/7R/5N2/2p3P1/5BK1/6P1/2q3r1 b - - 0 34,h8g8 f3d5 g8f8 h6h8
6k1/pp3rp1/5b2/2B4Q/8/5P2/PPp1R2K/5r2 b - - 0 27,c2c1q e2e8 f7f8 e8f8
r2q2kr/pp2n1bp/2np2p1/2p2RN1/8/3P4/PPP1Q1PP/RNB3K1 b - - 0 12,e7f5 e2e6 g8f8 e6f7
7k/p4p1p/5Np1/4R1K1/1r6/3r3R/P6P/8 b - - 0 31,d3h3 e5e8 h8g7 e8g8
2r3k1/pp3ppp/8/5b2/3Q4/1Bn4P/P5q1/K1RR4 b - - 1 26,c3d1 c1c8 f5c8 d4d8
3r2rk/ppp1P2p/3p1n2/8/8/2qB1NPR/P1P3K1/7R b - - 1 25,d8e8 h3h7 f6h7 h1h7
8/6rp/2Q3k1/p2p2n1/2pP4/2P1qP2/P5PP/5R1K b - - 0 31,g6h5 g2g4 h5h4 c6h6
R7/6k1/5r2/3p2N1/p1nP2K1/6P1/7P/8 w - - 3 41,a8a4 c4e3 g4h5 f6h6
2kq4/1bp4p/pp2p3/5p2/4P3/P1Q2P2/1PP1r2P/2KR4 b - - 1 22,d8e7 c3h8 e7f8 h8f8
k5N1/1p2R3/p6p/P2p3b/1P5q/2P2Pb1/6P1/3R1KQ1 w - - 5 35,e7d7 h4c4 d1d3 c4d3
4q1k1/2p2pp1/p1bb3p/Pp5Q/1P1B4/1BP3PP/5P2/6K1 w - - 0 26,h5g4 e8e1 g1h2 e1h1
3qbk1r/5P2/2n1p1p1/p2pP2p/2pP1Q2/2P1B2P/r3BRP1/7K b - - 0 33,d8e7 f4h6 h8h6 e3h6
5k2/q5pp/p4n2/1p1p1Q2/5P2/PNN2PP1/1P4KP/6b1 w - - 2 32,c3d5 a7f2 g2h3 f2h2
8/1Q3pk1/p5p1/1p1p4/3N2Pp/PBP2PK1/1P1q4/8 w - - 0 46,g3h4 d2h2 h4g5 h2h6
2r2rk1/pp1b1p1p/6p1/3pPpQ1/3P1N1N/q7/P1Rn1PPP/2R3K1 w - - 2 22,f4d5 a3c1 c2c1 c8c1
b1n2B2/5p1k/4p1pp/P1K1P3/6q1/8/3Q4/8 b - - 3 42,a8d5 d2h6 h7g8 h6g7
2r5/pp2R3/8/1b1p1p1k/1P6/P4R2/2r3P1/6K1 b - - 1 36,h5g4 e7g7 g4h5 f3h3
1k4n1/1p6/p3p3/2QP4/8/5r2/Pq3P2/2RK1R2 w - - 0 28,d5e6 f3d3 d1e1 b2d2
7k/p1pR4/1p1p3p/4br2/5P1p/7K/P1r4P/4R3 b - - 0 34,e5f4 e1e8 f5f8 e8f8
3r4/p4kp1/2p1p1r1/3p4/4RP2/1P2P2K/P1P5/3R4 w - - 1 30,e4e5 d8h8 e5h5 h8h5
4r1k1/p4ppp/2Q2b2/1p2P3/7P/P2Pq3/1P4P1/1R3BKR w - - 2 25,g1h2 f6e5 g2g3 e3g3
6k1/p7/1p1p4/2pP1RPK/2P5/1P3R2/P6q/8 w - - 39 61,h5g6 h2h7 g6f6 h7f7
3r2k1/2R2pp1/3p3p/7q/2Q1PP2/4K3/6PP/8 b - - 4 34,h5h2 c4f7 g8h8 f7g7
7k/6rp/8/5p2/7q/2Q1P2P/P4R2/R5BK w - - 1 36,f2h2 h4e4 h2g2 e4g2
Rbk4r/1n3p1p/1P1q2n1/3p4/2PP2b1/1Q6/3N1PP1/2B1N1K1 w - - 1 24,c4d5 d6h2 g1f1 h2h1
r2qr1k1/ppn2p1p/3p2p1/2pPbbN1/P1P5/3B1Q1P/1P3PP1/R1B2RK1 b - - 3 16,f5d3 f3f7 g8h8 f7h7
8/p4Qp1/Ppp2p2/7p/3Pk1nP/2P3PK/1P4P1/4Nq2 w - - 5 34,f7h5 g4f2 h3h2 f1h1
q7/2p1k2P/5p2/4p1p1/1p1pPnQ1/2bP4/2P2P2/5K1R w - - 3 33,h7h8q a8a1 g4d1 a1d1
5rk1/p1p2ppp/2Q5/1B1p4/3P1Pn1/P1N1P1Pq/5P2/1R4K1 w - - 1 21,c3d5 h3h2 g1f1 h2f2
5r1k/4q1pp/p7/1p1P4/3Q4/6P1/1R5P/1R2r1K1 w - - 2 40,b1e1 e7e1 g1g2 e1f1
6k1/5pp1/7p/4Q3/8/2P5/r2q1PPP/4RK2 w - - 1 25,f1g1 d2f2 g1h1 f2g2
2r3k1/1R3pp1/4p2p/8/3P1Q2/2q3P1/2r2P1P/3R1K2 b - - 3 38,c3c6 f4f7 g8h8 f7g7
r1b2rk1/2q1bp2/p2pp1PP/2p5/4PP2/1PpP2Q1/1PP1N3/R3K2R b KQ - 0 19,f7g6 g3g6 g8h8 g6g7
5rk1/pp2q2p/1b1p2p1/4pr2/3P2Q1/2B5/PPP3PP/3R1R1K w - - 0 23,d4e5 f5f1 d1f1 f8f1
7k/p7/1p1pQ2p/3Rp3/5q2/P6P/2r2PP1/3R2K1 w - - 0 31,d5d6 f4f2 g1h2 f2g2
r2q1rk1/p1p2p2/4pP1p/3p2p1/Q6B/P3P3/5PPP/R4RK1 b - - 0 18,g5h4 a4g4 g8h7 g4g7
5rkb/pb2Qp2/2p3p1/4p3/3pP3/2Nq4/PP3RPP/5R1K w - - 0 24,f2f7 d3f1 f7f1 f8f1
5k2/Q1P5/5n2/2Kp1B1p/3P4/2r2P2/P2b2PP/8 w - - 1 39,c5d6 d2f4 d6e6 c3c6
r5r1/1p3k1p/p2R2b1/4R3/5KPP/8/PP6/8 b - - 0 35,a8f8 d6d7 f7f6 g4g5
8/1R6/6p1/8/2R4n/6kP/r7/6K1 w - - 5 42,c4h4 a2a1 b7b1 a1b1
r1bqk2r/ppppn2p/2n2Pp1/2P4Q/2B5/8/PPP2PpP/RNB1R1K1 b kq - 0 10,g6h5 f6f7 e8f8 c1h6
r4rk1/ppp3p1/3p4/3Pp2B/1b2P1RB/1K1q1p2/PP3P2/R1Q5 w - - 0 30,b3b4 a7a5 b4a4 b7b5
r5k1/1pp3pp/4P3/p2p2q1/3P4/2P2Q2/2P3P1/3R2K1 b - - 0 25,a8e8 f3f7 g8h8 f7e8
6k1/r4p1p/p5N1/1p5Q/8/8/PqP3PP/4R2K b - - 0 26,h7g6 e1e8 g8g7 h5h8
5r1k/1pp2rp1/1p1pQ2R/4p3/3PPn2/2P1Bq1P/PP3P1K/6R1 b - - 0 23,g7h6 e6h6 f7h7 h6f8
r4qkr/1b1nb1p1/p1p1NnQ1/1p5p/3PPB2/2N3R1/PP3PPP/R5K1 b - - 7 20,f8f7 g6g7 f7g7 g3g7
3qkr2/1pp4R/3pbp2/1Q6/r3P1P1/3p4/8/4K3 b - - 0 32,e6d7 b5h5 f8f7 h5f7
6k1/6r1/p1nqpQ2/1p1b1p2/3p4/1PPB4/P5PP/4RRK1 w - - 1 30,g2g3 g7g3 h2g3 d6g3
2r4k/pb2q1p1/1p2prP1/3p1pP1/3P1P1Q/2PB4/PP6/2K5 b - - 1 26,h8g8 h4h7 g8f8 h7h8
6k1/1p3p1p/p2b2p1/4N3/1P1P3P/P2Q2P1/4RP1K/q1r5 w - - 7 44,e5f3 c1h1 h2g2 a1f1
r4rk1/pp4pp/1q1pp3/8/2p1P3/2NP2QP/PP4P1/R1B3K1 w - - 0 18,g1h1 f8f1 h1h2 b6g1
7r/4kp2/p7/1pQpP3/1Pp5/P4P2/4KP2/7q b - - 3 38,e7e6 c5d6 e6f5 d6f6
1k6/pP6/5q2/3B4/3pP1Q1/P2P2p1/2P5/5K2 w - - 1 39,f1g2 f6f2 g2h3 f2h2
r1b1k2r/pp3p2/1qp1p2p/4P1p1/2nPP3/b1N3BP/PPP1N1P1/2KRQ2R w kq - 1 17,c3a4 a3b2 a4b2 b6b2
7R/1pp2kp1/1p5p/5Pn1/8/1P4Bb/1Pr4P/4R2K w - - 1 33,h8e8 h3g2 h1g1 g5f3
1k1r3r/pp5p/2p2q2/Q6p/8/5P2/1PP5/1K1R3R b - - 1 26,f6f3 d1d8 h8d8 a5d8
r4r1k/1p2Nppp/p1p3N1/4p3/1PBbP1K1/P2P4/2P5/5R2 b - - 3 24,f7g6 e7g6 h7g6 f1h1
rnb4k/2p1br1B/p1n1p1Qp/1p1q3N/3P4/8/PP3PPP/R4RK1 b - - 1 21,f7h7 g6e8 e7f8 e8f8
2r4r/pp4pp/6b1/8/7k/5R2/PPP4R/2K3N1 b - - 1 30,h4g4 h2g2 g4h5 f3h3
6k1/4bppp/p3p3/qp6/1n6/2r5/PP1BQPPP/1KR4R w - - 0 26,c1c3 a5a2 b1c1 a2a1
r2q2k1/3b1Rp1/1b2p1Qp/p2pP3/1ppP4/2P1n3/PP1NB1PP/7K b - - 1 21,d8g5 f7g7 g8h8 g7h7
8/5p2/3Kp1k1/2Nr4/1n1P4/P7/3R4/8 w - - 1 48,d6e7 b4c6 e7f8 d5d8
r5kR/pb3p2/1npq1Pp1/1p4Q1/3P4/8/PP5P/2R3K1 b - - 2 31,g8h8 g5h6 h8g8 h6g7
8/7p/2R5/6pk/8/2P2KP1/6r1/8 b - - 1 37,g2c2 g3g4 h5h4 c6h6
5rk1/ppq1p2p/8/6N1/3b2bP/3Bp3/P1P3K1/1R1Q4 w - - 0 24,d1g4 f8f2 g2h3 c7h2
r3kr2/ppp1n1pp/3qQ3/5pN1/6n1/8/PP1PRPPP/R1B3K1 w q - 5 17,h2h3 d6h2 g1f1 h2h1
r5k1/pR5p/2p1p1p1/4b2n/8/5QP1/5P1K/4q3 b - - 0 30,h5g3 f3f7 g8h8 f7h7
1R4Q1/4q1p1/4p1k1/2p4p/4P2P/r1PP4/5PP1/6K1 w - - 2 31,b8e8 a3a1 g1h2 e7h4
8/2q2pk1/p4r1p/r7/4Q3/3B3P/5PP1/4R1K1 b - - 6 41,c7d6 e4h7 g7f8 h7h8
1qkr3r/1p4Rp/4p3/Q2p4/1P2P3/P7/5nK1/8 b - - 3 29,h8g8 a5c5 b8c7 c5c7
5r1k/2p3p1/pq5p/1p2p3/8/1BP3QP/PP4P1/3R3K w - - 2 30,d1d7 f8f1 h1h2 b6g1
6k1/5p2/4p2p/1P4p1/8/2P2QPq/1r2bP2/4R1K1 w - - 0 46,e1e2 b2b1 e2e1 b1e1
8/pp4pp/4Q3/3pP1k1/2pPp2P/1PP1KbP1/P1q5/2B5 b - - 0 33,g5h5 e6f5 g7g5 f5g5
1r4k1/2p3pp/R2p4/3Pp1Q1/2P1P3/8/3Bq1PP/Rr4K1 w - - 1 35,a1b1 b8b1 d2c1 e2e1
5R2/pp4B1/2k1p2p/4P2P/2p2b2/2P5/PP2r3/1K6 w - - 6 34,f8f6 e2e1 b1c2 e1c1
7Q/3pkppp/4pn2/2b5/8/2B5/1PPNqPBP/6K1 w - - 1 22,h8g7 e2f2 g1h1 f2g1
5r1k/1p2R3/p1p2nQ1/8/7P/8/1q3PPK/3r4 b - - 4 30,f8g8 g6h6 f6h7 h6h7
5rk1/p4ppp/7r/P4P2/2Q5/6q1/6PP/5RRK w - - 1 27,h2h3 h6h3 g2h3 g3h3
5B2/7p/8/3b2p1/4pkP1/P2p3P/2r2P2/4R1K1 b - - 4 45,d3d2 f8d6 f4f3 e1e3
5rk1/1p1bQ1pp/3N4/3p3r/p4P1q/7P/PP4P1/4RR1K b - - 1 25,d7h3 e7f8 g8f8 e1e8
r2qr1k1/pppb1ppp/8/3p3Q/8/1P1Pb2P/PBPN2P1/R4R1K b - - 1 16,e3d2 h5f7 g8h8 b2g7
5rk1/pp4p1/4P1Qp/5n2/3B4/2P2R1P/6PK/3q4 b - - 0 31,f5d4 f3f8 g8f8 g6f7
r5k1/6pp/4Q3/8/1pr2p2/8/PP3qPP/4R2K b - - 1 29,g8h8 e6e8 a8e8 e1e8
6k1/6pp/p4n2/2B3Q1/2P1r3/1P1q4/P5PP/5RK1 w - - 0 36,f1f6 e4e1 f6f1 e1f1
5R2/p1p3rk/8/3P2qr/8/1P1Q4/P4KP1/8 b - - 6 42,h7h6 f8h8 g7h7 h8h7
6k1/4qppp/2B1r3/1P1Q4/8/8/5PPP/1R4K1 w - - 3 34,d5d7 e6e1 b1e1 e7e1
r1b3k1/ppp2p2/6p1/1Qn3P1/2PqN3/3p2P1/PP2r3/R4K1R b - - 1 21,c5e4 b5e8 g8g7 e8h8
7k/p5pp/5n2/8/3R4/3P4/pr3PPP/R5K1 w - - 2 28,d4a4 b2b1 a1b1 a2b1q
3qr1k1/pp1n1ppp/3brn2/2ppN3/5B2/1N1P1Q2/PPP2PPP/R3R1K1 w - - 11 16,e5d7 e6e1 a1e1 e8e1
r3kb1r/1p4p1/pq1ppP2/8/5P2/2NB1P1p/PPP3K1/R2QR3 w kq - 0 20,g2h2 b6f2 h2h1 f2g2
r1r1b2k/1pq3pp/3p1p2/4pP2/3pP1Q1/PB5R/1PP3PP/R6K b - - 5 25,h7h6 h3h6 g7h6 g4g8
r1b4r/pppkbQpB/4p3/3p4/7q/2P5/PP3PPP/RN2R1K1 b - - 4 18,h4h7 f7e6 d7e8 e6e7
3rR1k1/pbbq2r1/1p4Q1/2pP3p/2P5/7P/PPB2PP1/4R1K1 b - - 2 28,d8e8 e1e8 d7e8 g6e8
b7/3R1pk1/p4p1p/4P2q/5P2/1Q5P/PP4P1/7K w - - 1 36,b3b8 h5h3 h1g1 h3g2
1r2r1k1/5ppp/pqN2b2/8/3P1Q2/8/1P3PPP/R1B2K2 w - - 5 23,c6b8 b6b5 f1g1 e8e1
r2r2k1/p4pBQ/1n2pPp1/1p6/2pqbR2/1P1B4/P5PP/3R3K b - - 0 30,g8h7 f4h4 h7g8 h4h8
r4r2/p1p1k2p/bp3q1p/4p2B/4PP2/1Q6/P5PP/3R1RK1 w - - 1 20,f4e5 f6f1 d1f1 f8f1
r2q1rk1/ppp2pp1/1n2p3/4P2Q/2P4R/P3B3/1P2n1PP/RN4K1 w - - 1 17,g1h1 d8d1 e3g1 d1g1
1k6/ppp3p1/2n5/1B6/3P4/1QP1KPP1/1PR4r/1q6 b - - 6 29,b1c2 b3g8 c6d8 g8d8
r1bQR3/p5pk/3b3p/2p2r2/3p1pq1/1P1P1N2/P1P2PPP/R1B3K1 w - - 8 23,f3h4 g4d1 e8e1 d1e1
2r4k/6p1/1b5p/3B4/p3bp1q/PQ5P/1P4P1/3R1R1K w - - 0 26,b3b6 h4h3 h1g1 h3g2
1R6/6pk/p2P3p/3n1q2/P2Bp3/4Q2P/2P3p1/6K1 w - - 2 40,e3g3 f5f1 g1h2 f1h1
r3r1k1/1bp3p1/p1n1pN2/4P1N1/3q3Q/8/1P3PPP/2R1b1K1 b - - 3 24,g7f6 h4h7 g8f8 h7f7
r2r2k1/p3qppp/1p6/5Q2/1P2n3/P3PbP1/2B2P1P/R3K1R1 b Q - 2 20,e4d2 f5h7 g8f8 h7h8
8/pk3N1r/1p4K1/8/2R5/8/2p5/8 b - - 1 59,h7h2 f7d6 b7a6 c4a4
2k5/ppp4R/8/5p2/8/2P2K2/PBr1r2P/3R4 b - - 1 23,c2b2 h7h8 e2e8 h8e8
5r1k/1pp3p1/p3b2p/4P1b1/3P4/PQP5/1P4PP/6K1 w - - 0 25,b3e6 g5e3 g1h1 f8f1
6r1/p1p4p/2p5/8/Pk1b4/RP6/3P1PbK/2B2R2 w - - 0 24,f1g1 d4e5 f2f4 e5f4
r1bq1rk1/pp2b1p1/2n1p3/2Ppp1NQ/7P/2N5/PPP2PP1/R3K2R b KQ - 3 14,f8f5 h5h7 g8f8 h7h8
rn3rk1/p1p2Npp/1p3n2/5b2/4pq2/1QP5/PP3PBP/3RR1K1 b - - 0 16,f8f7 d1d8 f6e8 d8e8
r1b1k2r/ppppBppp/2n5/3Q1N2/2B1Pq2/8/Pb3PPP/RN3RK1 b kq - 5 12,c6e7 d5f7 e8d8 f7e7
rk3b1r/pp3ppp/8/3np3/8/8/1B3PPP/2R2RK1 b - - 3 19,d5f6 b2e5 f8d6 e5d6
2rqk2r/3p1p2/pb2p3/1p2N3/1P4p1/P1nQP3/2P2PPB/2R2R1K b k - 1 22,d8h4 d3d7 e8f8 d7f7
4r1k1/5ppp/p5r1/1p6/3Np3/P1P1P1qb/1PQR2P1/5R1K w - - 0 28,g2h3 g3h3 d2h2 h3f1
4rk2/6pp/p3P3/3p4/2n2Q2/p2N4/5KPP/1r6 b - - 4 37,f8g8 f4f7 g8h8 f7e8
6k1/1r4pp/Rp2q3/2p5/2PpP3/5QP1/5PK1/8 b - - 3 34,e6c4 a6a8 b7b8 a8b8
7k/R7/6Rp/5p1P/5P2/2P1p1N1/5rr1/5K2 w - - 2 38,f1e1 g2g1 g3f1 g1f1
r4b1r/p1RR3p/kp3p2/1P2p1p1/2P5/P3P3/6PP/2K5 b - - 0 22,a6a5 c7a7 a8a7 d7a7
5b1k/pQ6/7p/6p1/3P4/4P3/PP4B1/3q2K1 w - - 1 31,g1h2 f8d6 h2h3 d1h5
r2r2k1/2q2p2/p6B/1pb1p3/P1p1b3/2P2N1P/1P3RP1/R1Q3K1 b - - 2 23,e4f3 c1g5 g8h7 g5g7
rk2R2r/pp4q1/2nN4/3N3p/6p1/8/PPP2PPP/4R1K1 b - - 1 24,h8e8 e1e8 c6d8 e8d8
4b1k1/pR2QNp1/4pn1p/3p4/5q2/5BPP/P4P1K/2r5 b - - 0 29,f4f3 f7h6 g7h6 e7g7
3R4/p5k1/5n2/2N4p/P7/1P2r3/6PK/8 w - - 3 50,d8a8 f6g4 h2g1 e3e1
7k/R7/3p2K1/4b1pp/p7/5P2/Pn5r/8 b - - 1 39,e5g7 a7a8 g7f8 a8f8
rn1q1r2/p4p1k/2pp4/1p2p1R1/4P3/1PPP1P2/1P1Q1P1P/R3K3 b Q - 0 18,f8g8 g5h5 h7g6 d2h6
2rqr1k1/pp2pp2/1bbp1npB/8/4PN2/PQ1P3P/1P4P1/1R3R1K b - - 1 21,g8h7 b3f7 h7h6 f7g6
r4rk1/1b3p1R/1p2p2B/p1pnN3/P2P3q/2PB4/2P2PPP/R5K1 b - - 0 21,f7f5 h7g7 g8h8 e5g6
r7/1R6/3p3p/1kpNb3/1p3pP1/1P3P1P/r2R2K1/8 b - - 3 42,b5a6 b7b6 a6a5 d2a2
1r2q2r/kRpbb1p1/p2p3p/Q2Pp3/2P1PpPP/R4P1N/PP4B1/2K5 b - - 0 26,b8b7 a5a6 a7b8 a6a8
1r4rk/pp5p/4Q3/8/2p5/8/q4PPP/4R1K1 b - - 0 26,b8e8 e6f6 g8g7 e1e8
8/5k2/3Br3/1R2PKpp/p7/8/PP3r1P/8 w - - 4 40,f5g5 e6g6 g5h5 f2h2
3rr1k1/2R2pp1/7p/p6Q/1p5P/8/q5P1/5R1K b - - 0 33,b4b3 h5f7 g8h8 f7g7
6k1/5pp1/1q5p/4Q3/1P6/2P5/3r1PPP/3B1RK1 w - - 1 31,f1e1 b6f2 g1h1 f2g2
r1bk1b1r/p4ppp/4pn2/1Np5/1n2pN2/4B3/PPP2PPP/3RKB1R b K - 5 11,d8e7 e3c5 e7e8 b5c7
2N2r1k/pp1b1ppp/3p3q/8/2Q3n1/5N2/PPP3PP/1K2R3 b - - 0 23,f8c8 c4c8 d7c8 e1e8
rnbq1rk1/4bp2/p2p1n1B/1p6/2p1P3/1BN4P/PPPQ1PP1/R3K2R b KQ - 0 13,f8e8 d2g5 g8h7 g5g7
1r3rk1/2q1npBp/2np2p1/p1p1p3/1p2P1N1/2PP1QPP/PP3PB1/R4RK1 b - - 0 18,g8g7 f3f6 g7g8 g4h6
r3k1r1/pp5Q/8/3p2q1/3Ppp2/4N1P1/PP3PKP/2R5 w q - 0 28,e3d5 f4f3 g2f1 g5c1
8/5Qpk/3N3B/p3b3/8/1P5P/P4qPK/8 w - - 1 28,h2h1 f2e1 f7f1 e1f1
r1b2rk1/ppppqppp/2n4n/6N1/2B1N3/4P3/P1Q2PPP/2R2RK1 b - - 7 15,d7d6 e4f6 g7f6 c2h7
1kr5/1p3pp1/7p/1N6/P3n1P1/1PN1R2P/3r4/6K1 w - - 12 37,c3e4 c8c1 e3e1 c1e1
5Q2/2p5/6pk/p2p1p2/3p1P2/1P2P3/1qPK2P1/8 b - - 2 33,h6h5 f8h8 h5g4 h8h3
2r3k1/5ppp/Q3pqb1/1p6/8/1P3P2/P1r1R1PP/4R2K b - - 0 31,c2e2 a6c8 f6d8 c8d8
r4r1k/2q2p2/4p1np/p3P2N/3P4/2b1Q3/P1p2PP1/R4RK1 b - - 5 28,c3a1 e3h6 h8g8 h5f6
r2q1r2/pp3p1k/5p1p/2b1p3/3p2P1/2NP4/P1P2PP1/R1Q1K2R b KQ - 0 18,f8h8 c1h6 h7g8 h6h8
r2q1r2/pb2npkp/1pn1p1p1/8/4P1N1/1pN1Q2P/PPP2PP1/R4RK1 b - - 1 16,h7h5 e3h6 g7g8 g4f6
r1bq1rk1/pp2nppp/4p3/2p4Q/3nNP2/3B2P1/PPPP3P/R1B1K2R b KQ - 6 13,c5c4 e4f6 g7f6 h5h7
k6r/6b1/2Q4p/pR4p1/8/2q3PP/PR5K/8 b - - 0 44,c3c6 b5a5 c6a6 a5a6
3rr1k1/2R2pp1/7p/1q6/1N2p3/1Q2N3/P3bPPP/6K1 b - - 0 29,d8b8 b3f7 g8h8 f7g7
6k1/5pp1/p1P2n1p/1p2pQ2/2r5/2q4P/5PP1/3R2K1 b - - 1 32,c4c6 d1d8 f6e8 d8e8
k2r4/1b4Qp/p7/3r4/8/8/5PPP/1R4K1 w - - 1 32,g2g3 d5d1 b1d1 d8d1
1r1q1rk1/2p2p2/p5bQ/1p1p4/6N1/4R3/P4PP1/6K1 b - - 4 25,f8e8 e3e8 d8e8 g4f6
r3bk2/1R3p1p/4pBpn/3pP3/2pN1PP1/2P4P/8/6K1 b - - 7 30,h6g8 d4e6 f7e6 f6g7
1r6/8/8/7p/4RN2/5P1K/1pr2kPP/1n6 b - - 7 60,b1c3 f4d3 f2g1 e4e1
2R5/5pp1/p3p1k1/3p2p1/3PqPP1/b2pP2Q/5K1P/8 b - - 2 39,d3d2 h3h5 g6f6 h5g5
r1bq3k/pp3Qbp/3p2p1/4p3/3nB2P/P3N3/1P3PP1/3R1RK1 w - - 1 24,e4d5 d4e2 g1h1 d8h4
5rk1/R5pq/2p1p3/2P5/3P4/6P1/4QNbr/R5K1 w - - 0 41,f2g4 h2h1 g1g2 h7h3
Q7/2p4k/p3q1pp/6p1/3Pb3/P6P/6P1/5R1K w - - 1 39,a8f8 e6h3 h1g1 h3g2
r6k/1bp1rp2/pq2pp2/1p5Q/1P1P4/P2BP3/5PP1/2R1K3 b - - 1 28,h8g7 h5h7 g7f8 h7h8
r5k1/ppq2r1R/6p1/4PnP1/2Qp4/2N1P3/PP3P2/2K4R b - - 0 28,c7c4 h7h8 g8g7 h1h7
r1b1k2r/ppp2p2/5np1/3PpP1p/2BbP3/2N2K2/PP4PP/R1B4R w kq - 0 16,f5g6 c8g4 f3g3 h5h4
6k1/pp3ppp/8/3pPpP1/5Qn1/1P5P/q1r4r/2R2RBK w - - 5 29,g1h2 c2h2 f4h2 a2h2
r1b2r1k/2p1qpR1/p5pB/1p1Pp2N/7b/1P3P2/P4P1P/R5QK b - - 1 25,g6h5 g7h7 h8h7 g1g7
2nr2k1/p1R2pb1/1p2p2p/1q6/8/5QP1/PP3P1P/6K1 b - - 1 32,b5d5 f3f7 g8h8 f7g7
